objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"011","93194","0","0","0","1","0","0","0","0","0","0","0","3","","79-1","","","","53477581","5.57449","6.05209","2.7959","10781","830","thing","011","3","6","90","90","90","2011","4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","ElfinWerks; Heidelberger Spieleverlag; Scribabs","English; French; German; Italian; Portuguese; Spanish","2011","Multilingual edition"
"1000 hely amit látnod kell","27181","0","0","0","1","0","0","0","0","0","0","0","3","","34-1","","","","107194270","5.45409","3.01571","1.1111","29250","100","thing","1,000 Places to See Before You Die","2","6","0","0","0","2006","","3","6–16","","","","","","","standalone","","Piatnik","Hungarian","0","Hungarian edition"
"Az 1000 tükör vára","40962","0","0","0","1","0","0","0","0","0","0","0","3","","21-5","","","","53478385","5.54234","5.99142","1.3571","14062","491","thing","Mirror Mansion","2","4","20","20","20","2009","3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","0","Hungarian edition"
"12 Rivers","447649","0","0","0","1","0","0","0","0","0","0","0","3","","34-5","","","","138486448","5.70764","7.21122","1.9091","6032","788","thing","12 Rivers","2","4","75","75","45","2025","3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Good Games Publishing","English","2025","English edition"
"1923 Cotton Club","340790","0","0","0","1","0","0","0","0","0","0","0","3","","65-2","","","","138486832","6.00933","7.43631","2.069","3071","2015","thing","1923 Cotton Club","2","4","60","60","45","2021","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Looping Games","English; Spanish","2021","English/Spanish edition"
"20 másodperc totálkáosz","276431","0","0","0","1","0","0","0","0","0","0","0","3","","10-4
*","","","","100796958","5.5771","6.48904","1","10576","810","thing","20 Second Showdown","5","20","0","0","0","2022","5,7,8,9,10,11,12,13","6,7","8+","","","","","","","standalone","","Big Potato Games; Reflexshop","Hungarian","2022","Hungarian edition"
"2gether","364266","0","0","0","1","0","0","0","0","0","0","0","3","","51-2","","","","119276275","5.58438","6.68495","1.125","10133","447","thing","Complices","2","2","25","25","15","2024","2","2","6+","No necessary in-game text","","","","","","standalone","","OldChap Games; Piatnik","Czech; German; Hungarian; Slovak","2024","DE/HU/CZ/SK edition"
"3Motion","409580","0","0","0","1","0","0","0","0","0","0","0","3","","53-2","","","","124592247","0","5.29444","2","0","45","thing","3Motion","2","2","20","20","20","2024","","","","","","","","","","standalone","","Piatnik","Czech; French; German; Hungarian; Polish; Slovak","2024","Multilingual edition"
"4Mation","329175","0","0","0","1","0","0","0","0","0","0","0","3","","53-2","","","","83375856","5.53653","6.53763","1","15008","213","thing","4Mation","2","2","10","10","10","2021","2","2","8+","","","","","","","standalone","","Piatnik","Czech; French; German; Hungarian; Polish; Slovak; Spanish","2021","Multilingual edition"
"504","175878","0","0","0","1","0","0","0","0","0","0","0","3","","77-1","","","","53767335","5.78867","6.18787","3.4623","4869","4185","thing","504","2","4","120","120","30","2015","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","Stronghold Games","English","2015","English edition"
"7 csoda","68448","0","0","0","1","0","0","0","0","0","0","0","3","","62-5","","","","53477600","7.55244","7.6653","2.3145","112","153570","thing","7 Wonders","2","7","30","30","30","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","Repos Production","Hungarian","2011","Repos Hungarian edition"
"7 Csoda (2021-es kiadás)","316377","0","0","0","1","0","0","0","0","0","0","0","3","","65-4
*","","","","84247872","7.34993","7.82831","2.2766","210","18657","thing","7 Wonders (Second Edition)","3","7","30","30","30","2021","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Repos Production","Hungarian","2021","Hungarian edition"
"7 Csoda Párbaj","173346","0","0","0","1","0","0","0","0","0","0","0","3","","52-4
*","","","","84246801","7.95535","8.0807","2.2272","23","179938","thing","7 Wonders Duel","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Repos Production","Hungarian","2016","Hungarian edition"
"7 Csoda Párbaj: Agora","309116","0","0","0","1","0","0","0","0","0","0","0","3","","52-4","","","","89785013","7.25759","8.06298","2.8769","0","23103","thing","7 Wonders Duel: Agora","2","2","30","30","30","2021","2","2","12+","No necessary in-game text","","","","","","expansion","","Gém Klub Kft.; Repos Production","Hungarian","2021","Hungarian edition"
"7 Csoda Párbaj: Panteon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","52-4","","","","84247026","7.62728","7.99786","2.3153","0","50278","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2020","2","2","10+","No necessary in-game text","","","","","","expansion","","Gém Klub Kft.; Repos Production","Hungarian","2020","Hungarian edition"
"7 Csoda: Építészek","346703","0","0","0","1","0","0","0","0","0","0","0","3","","29-4","","","","88182466","6.76097","7.0341","1.3641","803","19059","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.; Repos Production","Hungarian","2021","Hungarian edition"
